date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:27	28279/28279	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2004:11:25%20GMT	https://www.gottwalsbooks.com/about/community-involvement/	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/about/community-involvement/index.html	(from https://www.gottwalsbooks.com/)
23:11:27	37752/37752	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2004:11:25%20GMT	https://www.gottwalsbooks.com/books/	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/books/index.html	(from https://www.gottwalsbooks.com/)
23:11:28	26314/26314	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2004:11:26%20GMT	https://www.gottwalsbooks.com/trade-and-sell/	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/trade-and-sell/index.html	(from https://www.gottwalsbooks.com/)
23:11:29	27011/27011	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2004:11:27%20GMT	https://www.gottwalsbooks.com/contact-us/	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/contact-us/index.html	(from https://www.gottwalsbooks.com/)
23:11:29	36884/36884	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2004:11:26%20GMT	https://www.gottwalsbooks.com/kids/	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/kids/index.html	(from https://www.gottwalsbooks.com/)
23:11:30	409191/409191	---M--	200	added ('OK')	image/jpeg	etag:%2258521a76-63e67%22	https://www.gottwalsbooks.com/wp-content/themes/theme1555/images/home-bg.jpg	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/wp-content/themes/theme1555/images/home-bg.jpg	(from https://www.gottwalsbooks.com/wp-content/themes/theme1555/style.css?ver=1.0.0)
23:11:31	409804/409804	---M--	200	added ('OK')	image/jpeg	etag:%2258521a76-640cc%22	https://www.gottwalsbooks.com/wp-content/themes/theme1555/images/franchising-bg.jpg	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/wp-content/themes/theme1555/images/franchising-bg.jpg	(from https://www.gottwalsbooks.com/wp-content/themes/theme1555/style.css?ver=1.0.0)
23:11:31	147476/147476	---M--	200	added ('OK')	image/jpeg	etag:%2258521a76-24014%22	https://www.gottwalsbooks.com/wp-content/themes/theme1555/images/bg-left.jpg	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/wp-content/themes/theme1555/images/bg-left.jpg	(from https://www.gottwalsbooks.com/wp-content/themes/theme1555/style.css?ver=1.0.0)
23:11:31	138/138	---M--	200	added ('OK')	image/gif	etag:%2258521a75-8a%22	https://www.gottwalsbooks.com/wp-content/themes/theme1555/images/list-arrow.gif	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/wp-content/themes/theme1555/images/list-arrow.gif	(from https://www.gottwalsbooks.com/wp-content/themes/theme1555/style.css?ver=1.0.0)
23:11:31	4003/4003	---M--	200	added ('OK')	image/png	etag:%2258521a75-fa3%22	https://www.gottwalsbooks.com/wp-content/themes/theme1555/images/menu-bar-bg.png	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/wp-content/themes/theme1555/images/menu-bar-bg.png	(from https://www.gottwalsbooks.com/wp-content/themes/theme1555/style.css?ver=1.0.0)
23:11:32	1309/1309	---M--	200	added ('OK')	image/png	etag:%2258521a75-51d%22	https://www.gottwalsbooks.com/wp-content/themes/theme1555/images/menu-hover-top-right.png	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/wp-content/themes/theme1555/images/menu-hover-top-right.png	(from https://www.gottwalsbooks.com/wp-content/themes/theme1555/style.css?ver=1.0.0)
23:11:32	1065/1065	---M--	200	added ('OK')	image/png	etag:%2258521a75-429%22	https://www.gottwalsbooks.com/wp-content/themes/theme1555/images/menu-hover-top-left.png	C:/My%20Web%20Sites/Gotwalls%20Redesign/www.gottwalsbooks.com/wp-content/themes/theme1555/images/menu-hover-top-left.png	(from https://www.gottwalsbooks.com/wp-content/themes/theme1555/style.css?ver=1.0.0)
